tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-08-06 19:27:00+00:00,2.202071428571539,False,2026-08-06 19:27:00+00:00,1,1.0,4238.245,4238.195,0.0500000000001819
M1,IMBALANCE,-1,2026-08-06 19:55:00+00:00,2.2892857142857275,False,2026-08-06 19:55:00+00:00,1,1.0,4246.855,4246.875,-0.020000000000436557
M1,IMBALANCE,1,2026-08-06 23:52:00+00:00,1.3971428571428857,False,2026-08-06 23:52:00+00:00,1,1.0,4251.245,4251.195,-0.0500000000001819
M1,IMBALANCE,1,2026-08-07 05:33:00+00:00,2.0567857142857844,False,2026-08-07 05:33:00+00:00,1,1.0,4271.995,4276.115,4.119999999999891
M1,IMBALANCE,1,2026-08-07 08:32:00+00:00,2.0557142857144624,False,2026-08-07 08:32:00+00:00,1,1.0,4300.325,4304.465,4.140000000000327
M1,IMBALANCE,1,2026-08-07 08:34:00+00:00,2.9292857142857947,False,2026-08-07 08:34:00+00:00,1,1.0,4311.775,4312.955,1.180000000000291
M1,IMBALANCE,1,2026-08-07 11:21:00+00:00,2.2289285714283715,False,2026-08-07 11:21:00+00:00,1,1.0,4323.205,4325.615,2.4099999999998545
M5,ABSORPTION,1,2026-08-07 12:20:00+00:00,4.913214285714146,False,2026-08-07 12:20:00+00:00,1,1.0,4314.785,4310.795,-3.9899999999997817
M5,ABSORPTION,1,2026-08-07 12:30:00+00:00,5.711071428571358,False,2026-08-07 12:30:00+00:00,1,1.0,4311.845,4327.275,15.429999999999382
M1,IMBALANCE,1,2026-08-07 12:40:00+00:00,10.301535714285624,False,2026-08-07 12:40:00+00:00,2,2.0,4365.165,4366.845,3.360000000000582
M5,ABSORPTION,1,2026-08-07 12:40:00+00:00,10.040714285714134,False,2026-08-07 12:40:00+00:00,2,2.0,4365.165,4366.845,3.360000000000582
M5,ABSORPTION,1,2026-08-07 13:00:00+00:00,11.38642857142843,False,2026-08-07 13:00:00+00:00,1,1.0,4361.785,4350.395,-11.389999999999418
M5,ABSORPTION,1,2026-08-07 13:20:00+00:00,12.448928571428496,False,2026-08-07 13:20:00+00:00,1,1.0,4347.485,4350.345,2.860000000000582
M5,ABSORPTION,1,2026-08-07 14:15:00+00:00,9.913571428571556,False,2026-08-07 14:15:00+00:00,1,1.0,4334.805,4345.765,10.960000000000036
M1,IMBALANCE,1,2026-08-07 19:59:00+00:00,1.9171428571428675,False,2026-08-07 19:59:00+00:00,1,1.0,4344.435,4343.215,-1.2200000000002547
M1,IMBALANCE,-1,2026-08-10 01:05:00+00:00,3.727857142856984,False,2026-08-10 01:05:00+00:00,1,1.0,4326.775,4324.645,2.1299999999991996
M1,IMBALANCE,-1,2026-08-10 01:06:00+00:00,4.035714285714221,False,2026-08-10 01:06:00+00:00,1,1.0,4322.665,4326.795,-4.130000000000109
M1,IMBALANCE,1,2026-08-10 05:34:00+00:00,1.9835714285711998,False,2026-08-10 05:34:00+00:00,1,1.0,4338.625,4339.155,0.5299999999997453
M1,IMBALANCE,1,2026-08-10 05:35:00+00:00,2.0232142857140127,False,2026-08-10 05:35:00+00:00,1,1.0,4340.725,4338.595,-2.130000000000109
M1,IMBALANCE,1,2026-08-10 05:41:00+00:00,2.5535714285713635,False,2026-08-10 05:41:00+00:00,1,1.0,4343.625,4340.595,-3.0299999999997453
M1,IMBALANCE,1,2026-08-10 05:52:00+00:00,2.588571428571543,False,2026-08-10 05:52:00+00:00,1,1.0,4351.325,4348.675,-2.649999999999636
M1,IMBALANCE,-1,2026-08-10 11:14:00+00:00,1.4425000000001742,False,2026-08-10 11:14:00+00:00,1,1.0,4330.015,4331.505,-1.4899999999997817
M1,IMBALANCE,-1,2026-08-10 13:03:00+00:00,2.3825000000002285,False,2026-08-10 13:03:00+00:00,1,1.0,4326.505,4328.895,-2.3900000000003274
M5,ABSORPTION,-1,2026-08-10 14:35:00+00:00,6.942857142857195,True,2026-08-10 14:35:00+00:00,1,1.0,4347.345,4346.725,0.6199999999998909
M1,IMBALANCE,1,2026-08-10 18:32:00+00:00,2.2232142857142856,False,2026-08-10 18:32:00+00:00,1,1.0,4376.855,4374.405,-2.449999999999818
M1,IMBALANCE,1,2026-08-10 19:26:00+00:00,1.5403571428569844,False,2026-08-10 19:26:00+00:00,1,1.0,4389.675,4388.105,-1.5700000000006185
M1,IMBALANCE,1,2026-08-10 19:49:00+00:00,2.0689285714286467,False,2026-08-10 19:49:00+00:00,1,1.0,4394.515,4392.165,-2.350000000000364
M1,IMBALANCE,1,2026-08-11 00:04:00+00:00,2.168928571428361,False,2026-08-11 00:04:00+00:00,1,1.0,4402.605,4404.625,2.0200000000004366
M1,IMBALANCE,1,2026-08-11 00:05:00+00:00,2.2536785714283463,False,2026-08-11 00:05:00+00:00,1,1.0,4404.955,4402.695,-2.2600000000002183
M1,IMBALANCE,1,2026-08-11 00:26:00+00:00,1.9846428571429118,False,2026-08-11 00:26:00+00:00,1,1.0,4414.475,4412.165,-2.3100000000004
M1,IMBALANCE,-1,2026-08-11 04:31:00+00:00,1.852142857142683,False,2026-08-11 04:31:00+00:00,1,1.0,4412.455,4414.395,-1.9400000000005093
M1,IMBALANCE,-1,2026-08-11 04:43:00+00:00,2.7585714285713556,False,2026-08-11 04:43:00+00:00,1,1.0,4409.045,4411.105,-2.0599999999994907
M1,IMBALANCE,-1,2026-08-11 05:31:00+00:00,3.0292857142857037,False,2026-08-11 05:31:00+00:00,1,1.0,4380.235,4378.575,1.6599999999998545
M1,IMBALANCE,1,2026-08-11 11:02:00+00:00,1.9392857142854285,False,2026-08-11 11:02:00+00:00,1,1.0,4390.515,4388.465,-2.050000000000182
M5,ABSORPTION,1,2026-08-11 13:20:00+00:00,6.190357142856881,False,2026-08-11 13:20:00+00:00,1,1.0,4394.675,4397.775,3.0999999999994543
M5,ABSORPTION,1,2026-08-11 14:10:00+00:00,7.660357142857135,False,2026-08-11 14:10:00+00:00,1,1.0,4384.905,4386.825,1.9200000000000728
M1,IMBALANCE,-1,2026-08-11 15:35:00+00:00,2.978214285714265,False,2026-08-11 15:35:00+00:00,1,1.0,4377.745,4371.825,5.920000000000073
M1,IMBALANCE,-1,2026-08-11 18:09:00+00:00,2.147857142857382,False,2026-08-11 18:09:00+00:00,1,1.0,4361.465,4363.625,-2.1599999999998545
M1,IMBALANCE,1,2026-08-12 01:04:00+00:00,2.4200000000000728,False,2026-08-12 01:04:00+00:00,1,1.0,4384.965,4382.515,-2.449999999999818
M1,IMBALANCE,1,2026-08-12 02:43:00+00:00,1.9567857142856155,False,2026-08-12 02:43:00+00:00,1,1.0,4407.305,4405.335,-1.9700000000002547
M1,IMBALANCE,1,2026-08-12 02:48:00+00:00,2.2224999999999846,False,2026-08-12 02:48:00+00:00,1,1.0,4410.975,4408.745,-2.230000000000473
M1,IMBALANCE,-1,2026-08-12 05:34:00+00:00,2.275714285714327,False,2026-08-12 05:34:00+00:00,1,1.0,4392.465,4394.795,-2.3299999999999272
M1,IMBALANCE,1,2026-08-12 09:16:00+00:00,1.9785714285712206,False,2026-08-12 09:16:00+00:00,1,1.0,4418.285,4416.275,-2.0100000000002183
M1,IMBALANCE,1,2026-08-12 09:23:00+00:00,2.2382142857142884,False,2026-08-12 09:23:00+00:00,1,1.0,4417.835,4422.335,4.5
M1,IMBALANCE,1,2026-08-12 09:24:00+00:00,2.457499999999982,False,2026-08-12 09:24:00+00:00,1,1.0,4421.615,4419.095,-2.519999999999527
M1,IMBALANCE,-1,2026-08-12 12:31:00+00:00,6.808392857142735,True,2026-08-12 12:31:00+00:00,1,1.0,4393.875,4401.835,-7.960000000000036
M5,ABSORPTION,1,2026-08-12 12:35:00+00:00,8.105714285714514,True,2026-08-12 12:35:00+00:00,1,1.0,4425.615,4417.475,-8.139999999999418
M1,IMBALANCE,1,2026-08-12 12:38:00+00:00,10.84910714285713,False,2026-08-12 12:38:00+00:00,1,1.0,4426.695,4431.275,4.579999999999927
M5,ABSORPTION,1,2026-08-12 12:40:00+00:00,8.651071428571672,False,2026-08-12 12:40:00+00:00,2,2.0,4429.645,4428.415,-2.460000000000946
M1,IMBALANCE,1,2026-08-12 12:40:00+00:00,11.525178571428569,False,2026-08-12 12:40:00+00:00,2,2.0,4429.645,4428.415,-2.460000000000946
M1,IMBALANCE,1,2026-08-12 12:43:00+00:00,11.75660714285719,False,2026-08-12 12:43:00+00:00,1,1.0,4432.015,4420.175,-11.840000000000146
M5,ABSORPTION,1,2026-08-12 13:30:00+00:00,13.852857142857115,False,2026-08-12 13:30:00+00:00,1,1.0,4418.945,4413.705,-5.239999999999782
M1,IMBALANCE,1,2026-08-13 00:00:00+00:00,1.1432142857144885,False,2026-08-13 00:00:00+00:00,1,1.0,4414.745,4413.575,-1.1700000000000728
M1,IMBALANCE,1,2026-08-13 00:07:00+00:00,1.898928571428444,False,2026-08-13 00:07:00+00:00,1,1.0,4419.485,4419.605,0.11999999999989086
M1,IMBALANCE,1,2026-08-13 00:08:00+00:00,1.947857142856979,False,2026-08-13 00:08:00+00:00,1,1.0,4420.665,4418.655,-2.0100000000002183
M1,IMBALANCE,1,2026-08-13 00:16:00+00:00,2.014642857142787,False,2026-08-13 00:16:00+00:00,1,1.0,4423.895,4427.925,4.029999999999745
M1,IMBALANCE,1,2026-08-13 00:24:00+00:00,2.5982142857142856,False,2026-08-13 00:24:00+00:00,1,1.0,4437.545,4434.655,-2.8900000000003274
M1,IMBALANCE,1,2026-08-13 00:34:00+00:00,3.1828571428571064,False,2026-08-13 00:34:00+00:00,1,1.0,4434.265,4440.995,6.729999999999563
M1,IMBALANCE,1,2026-08-13 00:35:00+00:00,4.060714285714312,False,2026-08-13 00:35:00+00:00,1,1.0,4444.495,4440.375,-4.119999999999891
M1,IMBALANCE,-1,2026-08-13 05:42:00+00:00,2.8953571428571974,False,2026-08-13 05:42:00+00:00,1,1.0,4395.015,4389.025,5.990000000000691
M1,IMBALANCE,-1,2026-08-13 05:43:00+00:00,3.1117857142858156,False,2026-08-13 05:43:00+00:00,1,1.0,4391.045,4384.745,6.300000000000182
M1,IMBALANCE,-1,2026-08-13 05:44:00+00:00,3.3110714285714624,False,2026-08-13 05:44:00+00:00,1,1.0,4388.265,4387.765,0.5
M1,IMBALANCE,-1,2026-08-13 05:47:00+00:00,3.123928571428613,False,2026-08-13 05:47:00+00:00,1,1.0,4383.985,4387.185,-3.2000000000007276
M1,IMBALANCE,1,2026-08-13 13:08:00+00:00,3.531428571428413,False,2026-08-13 13:08:00+00:00,1,1.0,4397.865,4394.305,-3.5599999999994907
M5,ABSORPTION,-1,2026-08-13 14:05:00+00:00,7.50249999999999,False,2026-08-13 14:05:00+00:00,1,1.0,4373.045,4369.745,3.300000000000182
M5,ABSORPTION,-1,2026-08-13 14:10:00+00:00,7.621428571428559,False,2026-08-13 14:10:00+00:00,1,1.0,4369.135,4371.325,-2.1899999999996
M1,IMBALANCE,-1,2026-08-13 19:15:00+00:00,1.5810714285715741,False,2026-08-13 19:15:00+00:00,1,1.0,4346.625,4346.075,0.5500000000001819
M1,IMBALANCE,-1,2026-08-14 00:27:00+00:00,2.4328571428571064,False,2026-08-14 00:27:00+00:00,1,1.0,4341.585,4344.335,-2.75
M1,IMBALANCE,-1,2026-08-14 00:39:00+00:00,3.277142857142865,False,2026-08-14 00:39:00+00:00,1,1.0,4335.795,4339.155,-3.3599999999996726
M1,IMBALANCE,-1,2026-08-14 01:02:00+00:00,3.8235714285713454,False,2026-08-14 01:02:00+00:00,1,1.0,4333.405,4333.395,0.009999999999308784
M1,IMBALANCE,-1,2026-08-14 01:11:00+00:00,3.462499999999896,False,2026-08-14 01:11:00+00:00,1,1.0,4323.855,4325.675,-1.8200000000006185
M1,IMBALANCE,-1,2026-08-14 01:25:00+00:00,3.391785714285756,False,2026-08-14 01:25:00+00:00,1,1.0,4316.225,4319.765,-3.5399999999999636
M1,IMBALANCE,-1,2026-08-14 05:08:00+00:00,1.4682142857141116,False,2026-08-14 05:08:00+00:00,1,1.0,4321.565,4322.285,-0.7200000000002547
M1,IMBALANCE,-1,2026-08-14 05:31:00+00:00,1.6199999999998909,False,2026-08-14 05:31:00+00:00,1,1.0,4311.915,4313.555,-1.6400000000003274
M1,IMBALANCE,1,2026-08-14 11:35:00+00:00,1.7142857142859742,False,2026-08-14 11:35:00+00:00,1,1.0,4361.905,4360.175,-1.7299999999995634
M1,IMBALANCE,1,2026-08-14 12:01:00+00:00,1.6964285714286365,False,2026-08-14 12:01:00+00:00,1,1.0,4372.075,4370.375,-1.699999999999818
M1,IMBALANCE,1,2026-08-14 12:03:00+00:00,1.838571428571413,False,2026-08-14 12:03:00+00:00,1,1.0,4373.915,4373.215,-0.6999999999998181
M1,IMBALANCE,1,2026-08-14 12:15:00+00:00,2.1996428571429925,False,2026-08-14 12:15:00+00:00,2,2.0,4372.085,4369.875,-4.420000000000073
M5,ABSORPTION,1,2026-08-14 12:15:00+00:00,4.075714285714379,False,2026-08-14 12:15:00+00:00,2,2.0,4372.085,4372.265,0.3600000000005821
M1,IMBALANCE,1,2026-08-14 12:21:00+00:00,2.3153571428571404,False,2026-08-14 12:21:00+00:00,1,1.0,4376.775,4379.885,3.110000000000582
M1,IMBALANCE,1,2026-08-14 13:04:00+00:00,2.3389285714285637,False,2026-08-14 13:04:00+00:00,1,1.0,4378.875,4376.535,-2.3400000000001455
M1,IMBALANCE,1,2026-08-14 13:31:00+00:00,2.1507142857142623,False,2026-08-14 13:31:00+00:00,1,1.0,4387.755,4385.455,-2.300000000000182
M1,IMBALANCE,1,2026-08-14 13:33:00+00:00,2.360357142857083,False,2026-08-14 13:33:00+00:00,1,1.0,4390.145,4387.585,-2.5600000000004
M5,ABSORPTION,1,2026-08-14 13:45:00+00:00,5.580714285714358,False,2026-08-14 13:45:00+00:00,1,1.0,4394.155,4388.545,-5.609999999999673
M1,IMBALANCE,1,2026-08-14 14:01:00+00:00,2.8553571428572986,False,2026-08-14 14:01:00+00:00,1,1.0,4392.575,4389.695,-2.880000000000109
M1,IMBALANCE,1,2026-08-17 00:59:00+00:00,2.0035714285712465,False,2026-08-17 00:59:00+00:00,1,1.0,4402.325,4400.195,-2.130000000000109
M1,IMBALANCE,1,2026-08-17 01:04:00+00:00,3.3357142857140127,False,2026-08-17 01:04:00+00:00,1,1.0,4406.795,4409.545,2.75
M1,IMBALANCE,1,2026-08-17 01:07:00+00:00,3.697142857142548,False,2026-08-17 01:07:00+00:00,1,1.0,4410.485,4406.785,-3.699999999999818
