tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,1,2026-08-10 05:52:00+00:00,2.588571428571543,False,2026-08-10 05:52:00+00:00,1,1.0,4351.325,4348.395,-2.9299999999993815
M1,IMBALANCE,-1,2026-08-10 11:14:00+00:00,1.4425000000001742,False,2026-08-10 11:14:00+00:00,1,1.0,4330.015,4329.415,0.6000000000003638
M1,IMBALANCE,-1,2026-08-10 13:03:00+00:00,2.3825000000002285,False,2026-08-10 13:03:00+00:00,1,1.0,4326.505,4331.525,-5.019999999999527
M5,ABSORPTION,-1,2026-08-10 14:35:00+00:00,6.942857142857195,True,2026-08-10 14:35:00+00:00,1,1.0,4347.345,4346.725,0.6199999999998909
M1,IMBALANCE,1,2026-08-10 18:32:00+00:00,2.2232142857142856,False,2026-08-10 18:32:00+00:00,1,1.0,4376.855,4377.745,0.8900000000003274
M1,IMBALANCE,1,2026-08-10 19:26:00+00:00,1.5403571428569844,False,2026-08-10 19:26:00+00:00,1,1.0,4389.675,4392.535,2.8599999999996726
M1,IMBALANCE,1,2026-08-10 19:49:00+00:00,2.0689285714286467,False,2026-08-10 19:49:00+00:00,1,1.0,4394.515,4391.755,-2.7600000000002183
M1,IMBALANCE,1,2026-08-11 00:04:00+00:00,2.168928571428361,False,2026-08-11 00:04:00+00:00,1,1.0,4402.605,4404.625,2.0200000000004366
M1,IMBALANCE,1,2026-08-11 00:05:00+00:00,2.2536785714283463,False,2026-08-11 00:05:00+00:00,1,1.0,4404.955,4405.585,0.6300000000001091
M1,IMBALANCE,1,2026-08-11 00:26:00+00:00,1.9846428571429118,False,2026-08-11 00:26:00+00:00,1,1.0,4414.475,4412.435,-2.0399999999999636
M1,IMBALANCE,-1,2026-08-11 04:31:00+00:00,1.852142857142683,False,2026-08-11 04:31:00+00:00,1,1.0,4412.455,4413.885,-1.430000000000291
M1,IMBALANCE,-1,2026-08-11 04:43:00+00:00,2.7585714285713556,False,2026-08-11 04:43:00+00:00,1,1.0,4409.045,4411.105,-2.0599999999994907
M1,IMBALANCE,-1,2026-08-11 05:31:00+00:00,3.0292857142857037,False,2026-08-11 05:31:00+00:00,1,1.0,4380.235,4383.845,-3.610000000000582
M1,IMBALANCE,1,2026-08-11 11:02:00+00:00,1.9392857142854285,False,2026-08-11 11:02:00+00:00,1,1.0,4390.515,4389.325,-1.1900000000005093
